,0,1,2
139,,LINE TABULATION SET (U+008A),c28a
140,,PARTIAL LINE FORWARD (U+008B),c28b
141,,PARTIAL LINE BACKWARD (U+008C),c28c
142,,REVERSE LINE FEED (U+008D),c28d
143,,SINGLE SHIFT TWO (U+008E),c28e
144,,SINGLE SHIFT THREE (U+008F),c28f
145,,DEVICE CONTROL STRING (U+0090),c290
146,,PRIVATE USE ONE (U+0091),c291
147,,PRIVATE USE TWO (U+0092),c292
148,,SET TRANSMIT STATE (U+0093),c293
149,,CANCEL CHARACTER (U+0094),c294
150,,MESSAGE WAITING (U+0095),c295
151,,START OF GUARDED AREA (U+0096),c296
152,,END OF GUARDED AREA (U+0097),c297
153,,START OF STRING (U+0098),c298
154,,<control> (U+0099),c299
155,,SINGLE CHARACTER INTRODUCER (U+009A),c29a
156,,CONTROL SEQUENCE INTRODUCER (U+009B),c29b
157,,STRING TERMINATOR (U+009C),c29c
158,,OPERATING SYSTEM COMMAND (U+009D),c29d
159,,PRIVACY MESSAGE (U+009E),c29e
160,,APPLICATION PROGRAM COMMAND (U+009F),c29f
161,,NO-BREAK SPACE (U+00A0),c2a0
162,¡,INVERTED EXCLAMATION MARK (U+00A1),c2a1
163,¢,CENT SIGN (U+00A2),c2a2
164,£,POUND SIGN (U+00A3),c2a3
165,¤,CURRENCY SIGN (U+00A4),c2a4
166,¥,YEN SIGN (U+00A5),c2a5
167,¦,BROKEN BAR (U+00A6),c2a6
168,§,SECTION SIGN (U+00A7),c2a7
169,¨,DIAERESIS (U+00A8),c2a8
170,©,COPYRIGHT SIGN (U+00A9),c2a9
171,ª,FEMININE ORDINAL INDICATOR (U+00AA),c2aa
172,«,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK (U+00AB),c2ab
173,¬,NOT SIGN (U+00AC),c2ac
174,­,SOFT HYPHEN (U+00AD),c2ad
175,®,REGISTERED SIGN (U+00AE),c2ae
176,¯,MACRON (U+00AF),c2af
177,°,DEGREE SIGN (U+00B0),c2b0
178,±,PLUS-MINUS SIGN (U+00B1),c2b1
179,²,SUPERSCRIPT TWO (U+00B2),c2b2
180,³,SUPERSCRIPT THREE (U+00B3),c2b3
181,´,ACUTE ACCENT (U+00B4),c2b4
182,µ,MICRO SIGN (U+00B5),c2b5
183,¶,PILCROW SIGN (U+00B6),c2b6
184,·,MIDDLE DOT (U+00B7),c2b7
185,¸,CEDILLA (U+00B8),c2b8
186,¹,SUPERSCRIPT ONE (U+00B9),c2b9
187,º,MASCULINE ORDINAL INDICATOR (U+00BA),c2ba
188,»,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK (U+00BB),c2bb
189,¼,VULGAR FRACTION ONE QUARTER (U+00BC),c2bc
190,½,VULGAR FRACTION ONE HALF (U+00BD),c2bd
191,¾,VULGAR FRACTION THREE QUARTERS (U+00BE),c2be
192,¿,INVERTED QUESTION MARK (U+00BF),c2bf
193,À,LATIN CAPITAL LETTER A WITH GRAVE (U+00C0),c380
194,Á,LATIN CAPITAL LETTER A WITH ACUTE (U+00C1),c381
195,Â,LATIN CAPITAL LETTER A WITH CIRCUMFLEX (U+00C2),c382
196,Ã,LATIN CAPITAL LETTER A WITH TILDE (U+00C3),c383
197,Ä,LATIN CAPITAL LETTER A WITH DIAERESIS (U+00C4),c384
198,Å,LATIN CAPITAL LETTER A WITH RING ABOVE (U+00C5),c385
199,Æ,LATIN CAPITAL LETTER AE (U+00C6),c386
200,Ç,LATIN CAPITAL LETTER C WITH CEDILLA (U+00C7),c387
201,È,LATIN CAPITAL LETTER E WITH GRAVE (U+00C8),c388
202,É,LATIN CAPITAL LETTER E WITH ACUTE (U+00C9),c389
203,Ê,LATIN CAPITAL LETTER E WITH CIRCUMFLEX (U+00CA),c38a
204,Ë,LATIN CAPITAL LETTER E WITH DIAERESIS (U+00CB),c38b
205,Ì,LATIN CAPITAL LETTER I WITH GRAVE (U+00CC),c38c
206,Í,LATIN CAPITAL LETTER I WITH ACUTE (U+00CD),c38d
207,Î,LATIN CAPITAL LETTER I WITH CIRCUMFLEX (U+00CE),c38e
208,Ï,LATIN CAPITAL LETTER I WITH DIAERESIS (U+00CF),c38f
209,Ð,LATIN CAPITAL LETTER ETH (U+00D0),c390
210,Ñ,LATIN CAPITAL LETTER N WITH TILDE (U+00D1),c391
211,Ò,LATIN CAPITAL LETTER O WITH GRAVE (U+00D2),c392
212,Ó,LATIN CAPITAL LETTER O WITH ACUTE (U+00D3),c393
213,Ô,LATIN CAPITAL LETTER O WITH CIRCUMFLEX (U+00D4),c394
214,Õ,LATIN CAPITAL LETTER O WITH TILDE (U+00D5),c395
215,Ö,LATIN CAPITAL LETTER O WITH DIAERESIS (U+00D6),c396
216,×,MULTIPLICATION SIGN (U+00D7),c397
217,Ø,LATIN CAPITAL LETTER O WITH STROKE (U+00D8),c398
218,Ù,LATIN CAPITAL LETTER U WITH GRAVE (U+00D9),c399
219,Ú,LATIN CAPITAL LETTER U WITH ACUTE (U+00DA),c39a
220,Û,LATIN CAPITAL LETTER U WITH CIRCUMFLEX (U+00DB),c39b
221,Ü,LATIN CAPITAL LETTER U WITH DIAERESIS (U+00DC),c39c
222,Ý,LATIN CAPITAL LETTER Y WITH ACUTE (U+00DD),c39d
223,Þ,LATIN CAPITAL LETTER THORN (U+00DE),c39e
224,ß,LATIN SMALL LETTER SHARP S (U+00DF),c39f
225,à,LATIN SMALL LETTER A WITH GRAVE (U+00E0),c3a0
226,á,LATIN SMALL LETTER A WITH ACUTE (U+00E1),c3a1
227,â,LATIN SMALL LETTER A WITH CIRCUMFLEX (U+00E2),c3a2
228,ã,LATIN SMALL LETTER A WITH TILDE (U+00E3),c3a3
229,ä,LATIN SMALL LETTER A WITH DIAERESIS (U+00E4),c3a4
230,å,LATIN SMALL LETTER A WITH RING ABOVE (U+00E5),c3a5
231,æ,LATIN SMALL LETTER AE (U+00E6),c3a6
232,ç,LATIN SMALL LETTER C WITH CEDILLA (U+00E7),c3a7
233,è,LATIN SMALL LETTER E WITH GRAVE (U+00E8),c3a8
234,é,LATIN SMALL LETTER E WITH ACUTE (U+00E9),c3a9
235,ê,LATIN SMALL LETTER E WITH CIRCUMFLEX (U+00EA),c3aa
236,ë,LATIN SMALL LETTER E WITH DIAERESIS (U+00EB),c3ab
237,ì,LATIN SMALL LETTER I WITH GRAVE (U+00EC),c3ac
238,í,LATIN SMALL LETTER I WITH ACUTE (U+00ED),c3ad
239,î,LATIN SMALL LETTER I WITH CIRCUMFLEX (U+00EE),c3ae
240,ï,LATIN SMALL LETTER I WITH DIAERESIS (U+00EF),c3af
241,ð,LATIN SMALL LETTER ETH (U+00F0),c3b0
242,ñ,LATIN SMALL LETTER N WITH TILDE (U+00F1),c3b1
243,ò,LATIN SMALL LETTER O WITH GRAVE (U+00F2),c3b2
244,ó,LATIN SMALL LETTER O WITH ACUTE (U+00F3),c3b3
245,ô,LATIN SMALL LETTER O WITH CIRCUMFLEX (U+00F4),c3b4
246,õ,LATIN SMALL LETTER O WITH TILDE (U+00F5),c3b5
247,ö,LATIN SMALL LETTER O WITH DIAERESIS (U+00F6),c3b6
248,÷,DIVISION SIGN (U+00F7),c3b7
249,ø,LATIN SMALL LETTER O WITH STROKE (U+00F8),c3b8
250,ù,LATIN SMALL LETTER U WITH GRAVE (U+00F9),c3b9
251,ú,LATIN SMALL LETTER U WITH ACUTE (U+00FA),c3ba
252,û,LATIN SMALL LETTER U WITH CIRCUMFLEX (U+00FB),c3bb
253,ü,LATIN SMALL LETTER U WITH DIAERESIS (U+00FC),c3bc
254,ý,LATIN SMALL LETTER Y WITH ACUTE (U+00FD),c3bd
255,þ,LATIN SMALL LETTER THORN (U+00FE),c3be
256,ÿ,LATIN SMALL LETTER Y WITH DIAERESIS (U+00FF),c3bf
257,Ā,LATIN CAPITAL LETTER A WITH MACRON (U+0100),c480
258,ā,LATIN SMALL LETTER A WITH MACRON (U+0101),c481
259,Ă,LATIN CAPITAL LETTER A WITH BREVE (U+0102),c482
260,ă,LATIN SMALL LETTER A WITH BREVE (U+0103),c483
261,Ą,LATIN CAPITAL LETTER A WITH OGONEK (U+0104),c484
262,ą,LATIN SMALL LETTER A WITH OGONEK (U+0105),c485
263,Ć,LATIN CAPITAL LETTER C WITH ACUTE (U+0106),c486
264,ć,LATIN SMALL LETTER C WITH ACUTE (U+0107),c487
265,Ĉ,LATIN CAPITAL LETTER C WITH CIRCUMFLEX (U+0108),c488
266,ĉ,LATIN SMALL LETTER C WITH CIRCUMFLEX (U+0109),c489
267,Ċ,LATIN CAPITAL LETTER C WITH DOT ABOVE (U+010A),c48a
268,ċ,LATIN SMALL LETTER C WITH DOT ABOVE (U+010B),c48b
269,Č,LATIN CAPITAL LETTER C WITH CARON (U+010C),c48c
270,č,LATIN SMALL LETTER C WITH CARON (U+010D),c48d
271,Ď,LATIN CAPITAL LETTER D WITH CARON (U+010E),c48e
272,ď,LATIN SMALL LETTER D WITH CARON (U+010F),c48f
273,Đ,LATIN CAPITAL LETTER D WITH STROKE (U+0110),c490
274,đ,LATIN SMALL LETTER D WITH STROKE (U+0111),c491
275,Ē,LATIN CAPITAL LETTER E WITH MACRON (U+0112),c492
276,ē,LATIN SMALL LETTER E WITH MACRON (U+0113),c493
277,Ĕ,LATIN CAPITAL LETTER E WITH BREVE (U+0114),c494
278,ĕ,LATIN SMALL LETTER E WITH BREVE (U+0115),c495
279,Ė,LATIN CAPITAL LETTER E WITH DOT ABOVE (U+0116),c496
280,ė,LATIN SMALL LETTER E WITH DOT ABOVE (U+0117),c497
281,Ę,LATIN CAPITAL LETTER E WITH OGONEK (U+0118),c498
282,ę,LATIN SMALL LETTER E WITH OGONEK (U+0119),c499
283,Ě,LATIN CAPITAL LETTER E WITH CARON (U+011A),c49a
284,ě,LATIN SMALL LETTER E WITH CARON (U+011B),c49b
285,Ĝ,LATIN CAPITAL LETTER G WITH CIRCUMFLEX (U+011C),c49c
286,ĝ,LATIN SMALL LETTER G WITH CIRCUMFLEX (U+011D),c49d
287,Ğ,LATIN CAPITAL LETTER G WITH BREVE (U+011E),c49e
288,ğ,LATIN SMALL LETTER G WITH BREVE (U+011F),c49f
289,Ġ,LATIN CAPITAL LETTER G WITH DOT ABOVE (U+0120),c4a0
290,ġ,LATIN SMALL LETTER G WITH DOT ABOVE (U+0121),c4a1
291,Ģ,LATIN CAPITAL LETTER G WITH CEDILLA (U+0122),c4a2
292,ģ,LATIN SMALL LETTER G WITH CEDILLA (U+0123),c4a3
293,Ĥ,LATIN CAPITAL LETTER H WITH CIRCUMFLEX (U+0124),c4a4
294,ĥ,LATIN SMALL LETTER H WITH CIRCUMFLEX (U+0125),c4a5
295,Ħ,LATIN CAPITAL LETTER H WITH STROKE (U+0126),c4a6
296,ħ,LATIN SMALL LETTER H WITH STROKE (U+0127),c4a7
297,Ĩ,LATIN CAPITAL LETTER I WITH TILDE (U+0128),c4a8
298,ĩ,LATIN SMALL LETTER I WITH TILDE (U+0129),c4a9
299,Ī,LATIN CAPITAL LETTER I WITH MACRON (U+012A),c4aa
300,ī,LATIN SMALL LETTER I WITH MACRON (U+012B),c4ab
301,Ĭ,LATIN CAPITAL LETTER I WITH BREVE (U+012C),c4ac
302,ĭ,LATIN SMALL LETTER I WITH BREVE (U+012D),c4ad
303,Į,LATIN CAPITAL LETTER I WITH OGONEK (U+012E),c4ae
304,į,LATIN SMALL LETTER I WITH OGONEK (U+012F),c4af
305,İ,LATIN CAPITAL LETTER I WITH DOT ABOVE (U+0130),c4b0
306,ı,LATIN SMALL LETTER DOTLESS I (U+0131),c4b1
307,Ĳ,LATIN CAPITAL LIGATURE IJ (U+0132),c4b2
308,ĳ,LATIN SMALL LIGATURE IJ (U+0133),c4b3
309,Ĵ,LATIN CAPITAL LETTER J WITH CIRCUMFLEX (U+0134),c4b4
310,ĵ,LATIN SMALL LETTER J WITH CIRCUMFLEX (U+0135),c4b5
311,Ķ,LATIN CAPITAL LETTER K WITH CEDILLA (U+0136),c4b6
312,ķ,LATIN SMALL LETTER K WITH CEDILLA (U+0137),c4b7
313,ĸ,LATIN SMALL LETTER KRA (U+0138),c4b8
314,Ĺ,LATIN CAPITAL LETTER L WITH ACUTE (U+0139),c4b9
315,ĺ,LATIN SMALL LETTER L WITH ACUTE (U+013A),c4ba
316,Ļ,LATIN CAPITAL LETTER L WITH CEDILLA (U+013B),c4bb
317,ļ,LATIN SMALL LETTER L WITH CEDILLA (U+013C),c4bc
318,Ľ,LATIN CAPITAL LETTER L WITH CARON (U+013D),c4bd
319,ľ,LATIN SMALL LETTER L WITH CARON (U+013E),c4be
320,Ŀ,LATIN CAPITAL LETTER L WITH MIDDLE DOT (U+013F),c4bf
321,ŀ,LATIN SMALL LETTER L WITH MIDDLE DOT (U+0140),c580
322,Ł,LATIN CAPITAL LETTER L WITH STROKE (U+0141),c581
323,ł,LATIN SMALL LETTER L WITH STROKE (U+0142),c582
324,Ń,LATIN CAPITAL LETTER N WITH ACUTE (U+0143),c583
325,ń,LATIN SMALL LETTER N WITH ACUTE (U+0144),c584
326,Ņ,LATIN CAPITAL LETTER N WITH CEDILLA (U+0145),c585
327,ņ,LATIN SMALL LETTER N WITH CEDILLA (U+0146),c586
328,Ň,LATIN CAPITAL LETTER N WITH CARON (U+0147),c587
329,ň,LATIN SMALL LETTER N WITH CARON (U+0148),c588
330,ŉ,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE (U+0149),c589
331,Ŋ,LATIN CAPITAL LETTER ENG (U+014A),c58a
332,ŋ,LATIN SMALL LETTER ENG (U+014B),c58b
333,Ō,LATIN CAPITAL LETTER O WITH MACRON (U+014C),c58c
334,ō,LATIN SMALL LETTER O WITH MACRON (U+014D),c58d
335,Ŏ,LATIN CAPITAL LETTER O WITH BREVE (U+014E),c58e
336,ŏ,LATIN SMALL LETTER O WITH BREVE (U+014F),c58f
337,Ő,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE (U+0150),c590
338,ő,LATIN SMALL LETTER O WITH DOUBLE ACUTE (U+0151),c591
339,Œ,LATIN CAPITAL LIGATURE OE (U+0152),c592
340,œ,LATIN SMALL LIGATURE OE (U+0153),c593
341,Ŕ,LATIN CAPITAL LETTER R WITH ACUTE (U+0154),c594
342,ŕ,LATIN SMALL LETTER R WITH ACUTE (U+0155),c595
343,Ŗ,LATIN CAPITAL LETTER R WITH CEDILLA (U+0156),c596
344,ŗ,LATIN SMALL LETTER R WITH CEDILLA (U+0157),c597
345,Ř,LATIN CAPITAL LETTER R WITH CARON (U+0158),c598
346,ř,LATIN SMALL LETTER R WITH CARON (U+0159),c599
347,Ś,LATIN CAPITAL LETTER S WITH ACUTE (U+015A),c59a
348,ś,LATIN SMALL LETTER S WITH ACUTE (U+015B),c59b
349,Ŝ,LATIN CAPITAL LETTER S WITH CIRCUMFLEX (U+015C),c59c
350,ŝ,LATIN SMALL LETTER S WITH CIRCUMFLEX (U+015D),c59d
351,Ş,LATIN CAPITAL LETTER S WITH CEDILLA (U+015E),c59e
352,ş,LATIN SMALL LETTER S WITH CEDILLA (U+015F),c59f
353,Š,LATIN CAPITAL LETTER S WITH CARON (U+0160),c5a0
354,š,LATIN SMALL LETTER S WITH CARON (U+0161),c5a1
355,Ţ,LATIN CAPITAL LETTER T WITH CEDILLA (U+0162),c5a2
356,ţ,LATIN SMALL LETTER T WITH CEDILLA (U+0163),c5a3
357,Ť,LATIN CAPITAL LETTER T WITH CARON (U+0164),c5a4
358,ť,LATIN SMALL LETTER T WITH CARON (U+0165),c5a5
359,Ŧ,LATIN CAPITAL LETTER T WITH STROKE (U+0166),c5a6
360,ŧ,LATIN SMALL LETTER T WITH STROKE (U+0167),c5a7
361,Ũ,LATIN CAPITAL LETTER U WITH TILDE (U+0168),c5a8
362,ũ,LATIN SMALL LETTER U WITH TILDE (U+0169),c5a9
363,Ū,LATIN CAPITAL LETTER U WITH MACRON (U+016A),c5aa
364,ū,LATIN SMALL LETTER U WITH MACRON (U+016B),c5ab
365,Ŭ,LATIN CAPITAL LETTER U WITH BREVE (U+016C),c5ac
366,ŭ,LATIN SMALL LETTER U WITH BREVE (U+016D),c5ad
367,Ů,LATIN CAPITAL LETTER U WITH RING ABOVE (U+016E),c5ae
368,ů,LATIN SMALL LETTER U WITH RING ABOVE (U+016F),c5af
369,Ű,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE (U+0170),c5b0
370,ű,LATIN SMALL LETTER U WITH DOUBLE ACUTE (U+0171),c5b1
371,Ų,LATIN CAPITAL LETTER U WITH OGONEK (U+0172),c5b2
372,ų,LATIN SMALL LETTER U WITH OGONEK (U+0173),c5b3
373,Ŵ,LATIN CAPITAL LETTER W WITH CIRCUMFLEX (U+0174),c5b4
374,ŵ,LATIN SMALL LETTER W WITH CIRCUMFLEX (U+0175),c5b5
375,Ŷ,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX (U+0176),c5b6
376,ŷ,LATIN SMALL LETTER Y WITH CIRCUMFLEX (U+0177),c5b7
377,Ÿ,LATIN CAPITAL LETTER Y WITH DIAERESIS (U+0178),c5b8
378,Ź,LATIN CAPITAL LETTER Z WITH ACUTE (U+0179),c5b9
379,ź,LATIN SMALL LETTER Z WITH ACUTE (U+017A),c5ba
380,Ż,LATIN CAPITAL LETTER Z WITH DOT ABOVE (U+017B),c5bb
381,ż,LATIN SMALL LETTER Z WITH DOT ABOVE (U+017C),c5bc
382,Ž,LATIN CAPITAL LETTER Z WITH CARON (U+017D),c5bd
383,ž,LATIN SMALL LETTER Z WITH CARON (U+017E),c5be
384,ſ,LATIN SMALL LETTER LONG S (U+017F),c5bf
385,ƀ,LATIN SMALL LETTER B WITH STROKE (U+0180),c680
386,Ɓ,LATIN CAPITAL LETTER B WITH HOOK (U+0181),c681
387,Ƃ,LATIN CAPITAL LETTER B WITH TOPBAR (U+0182),c682
388,ƃ,LATIN SMALL LETTER B WITH TOPBAR (U+0183),c683
389,Ƅ,LATIN CAPITAL LETTER TONE SIX (U+0184),c684
390,ƅ,LATIN SMALL LETTER TONE SIX (U+0185),c685
391,Ɔ,LATIN CAPITAL LETTER OPEN O (U+0186),c686
392,Ƈ,LATIN CAPITAL LETTER C WITH HOOK (U+0187),c687
393,ƈ,LATIN SMALL LETTER C WITH HOOK (U+0188),c688
394,Ɖ,LATIN CAPITAL LETTER AFRICAN D (U+0189),c689
395,Ɗ,LATIN CAPITAL LETTER D WITH HOOK (U+018A),c68a
396,Ƌ,LATIN CAPITAL LETTER D WITH TOPBAR (U+018B),c68b
397,ƌ,LATIN SMALL LETTER D WITH TOPBAR (U+018C),c68c
398,ƍ,LATIN SMALL LETTER TURNED DELTA (U+018D),c68d
399,Ǝ,LATIN CAPITAL LETTER REVERSED E (U+018E),c68e
400,Ə,LATIN CAPITAL LETTER SCHWA (U+018F),c68f
401,Ɛ,LATIN CAPITAL LETTER OPEN E (U+0190),c690
402,Ƒ,LATIN CAPITAL LETTER F WITH HOOK (U+0191),c691
403,ƒ,LATIN SMALL LETTER F WITH HOOK (U+0192),c692
404,Ɠ,LATIN CAPITAL LETTER G WITH HOOK (U+0193),c693
405,Ɣ,LATIN CAPITAL LETTER GAMMA (U+0194),c694
406,ƕ,LATIN SMALL LETTER HV (U+0195),c695
407,Ɩ,LATIN CAPITAL LETTER IOTA (U+0196),c696
408,Ɨ,LATIN CAPITAL LETTER I WITH STROKE (U+0197),c697
409,Ƙ,LATIN CAPITAL LETTER K WITH HOOK (U+0198),c698
410,ƙ,LATIN SMALL LETTER K WITH HOOK (U+0199),c699
411,ƚ,LATIN SMALL LETTER L WITH BAR (U+019A),c69a
412,ƛ,LATIN SMALL LETTER LAMBDA WITH STROKE (U+019B),c69b
413,Ɯ,LATIN CAPITAL LETTER TURNED M (U+019C),c69c
414,Ɲ,LATIN CAPITAL LETTER N WITH LEFT HOOK (U+019D),c69d
415,ƞ,LATIN SMALL LETTER N WITH LONG RIGHT LEG (U+019E),c69e
416,Ɵ,LATIN CAPITAL LETTER O WITH MIDDLE TILDE (U+019F),c69f
417,Ơ,LATIN CAPITAL LETTER O WITH HORN (U+01A0),c6a0
418,ơ,LATIN SMALL LETTER O WITH HORN (U+01A1),c6a1
419,Ƣ,LATIN CAPITAL LETTER OI (U+01A2),c6a2
420,ƣ,LATIN SMALL LETTER OI (U+01A3),c6a3
421,Ƥ,LATIN CAPITAL LETTER P WITH HOOK (U+01A4),c6a4
422,ƥ,LATIN SMALL LETTER P WITH HOOK (U+01A5),c6a5
423,Ʀ,LATIN LETTER YR (U+01A6),c6a6
424,Ƨ,LATIN CAPITAL LETTER TONE TWO (U+01A7),c6a7
425,ƨ,LATIN SMALL LETTER TONE TWO (U+01A8),c6a8
426,Ʃ,LATIN CAPITAL LETTER ESH (U+01A9),c6a9
427,ƪ,LATIN LETTER REVERSED ESH LOOP (U+01AA),c6aa
428,ƫ,LATIN SMALL LETTER T WITH PALATAL HOOK (U+01AB),c6ab
429,Ƭ,LATIN CAPITAL LETTER T WITH HOOK (U+01AC),c6ac
430,ƭ,LATIN SMALL LETTER T WITH HOOK (U+01AD),c6ad
431,Ʈ,LATIN CAPITAL LETTER T WITH RETROFLEX HOOK (U+01AE),c6ae
432,Ư,LATIN CAPITAL LETTER U WITH HORN (U+01AF),c6af
