,0,1,2
0,,,
1,,NULL (U+0000),00
2,,START OF HEADING (U+0001),01
3,,START OF TEXT (U+0002),02
4,,END OF TEXT (U+0003),03
5,,END OF TRANSMISSION (U+0004),04
6,,ENQUIRY (U+0005),05
7,,ACKNOWLEDGE (U+0006),06
8,,BELL (U+0007),07
9,,BACKSPACE (U+0008),08
10,,CHARACTER TABULATION (U+0009),09
11,,LINE FEED (LF) (U+000A),0a
12,,LINE TABULATION (U+000B),0b
13,,FORM FEED (FF) (U+000C),0c
14,,CARRIAGE RETURN (CR) (U+000D),0d
15,,SHIFT OUT (U+000E),0e
16,,SHIFT IN (U+000F),0f
17,,DATA LINK ESCAPE (U+0010),10
18,,DEVICE CONTROL ONE (U+0011),11
19,,DEVICE CONTROL TWO (U+0012),12
20,,DEVICE CONTROL THREE (U+0013),13
21,,DEVICE CONTROL FOUR (U+0014),14
22,,NEGATIVE ACKNOWLEDGE (U+0015),15
23,,SYNCHRONOUS IDLE (U+0016),16
24,,END OF TRANSMISSION BLOCK (U+0017),17
25,,CANCEL (U+0018),18
26,,END OF MEDIUM (U+0019),19
27,,SUBSTITUTE (U+001A),1a
28,,ESCAPE (U+001B),1b
29,,INFORMATION SEPARATOR FOUR (U+001C),1c
30,,INFORMATION SEPARATOR THREE (U+001D),1d
31,,INFORMATION SEPARATOR TWO (U+001E),1e
32,,INFORMATION SEPARATOR ONE (U+001F),1f
33,,SPACE (U+0020),20
34,!,EXCLAMATION MARK (U+0021),21
35,"""",QUOTATION MARK (U+0022),22
36,#,NUMBER SIGN (U+0023),23
37,$,DOLLAR SIGN (U+0024),24
38,%,PERCENT SIGN (U+0025),25
39,&,AMPERSAND (U+0026),26
40,',APOSTROPHE (U+0027),27
41,(,LEFT PARENTHESIS (U+0028),28
42,),RIGHT PARENTHESIS (U+0029),29
43,*,ASTERISK (U+002A),2a
44,+,PLUS SIGN (U+002B),2b
45,",",COMMA (U+002C),2c
46,-,HYPHEN-MINUS (U+002D),2d
47,.,FULL STOP (U+002E),2e
48,/,SOLIDUS (U+002F),2f
49,0,DIGIT ZERO (U+0030),30
50,1,DIGIT ONE (U+0031),31
51,2,DIGIT TWO (U+0032),32
52,3,DIGIT THREE (U+0033),33
53,4,DIGIT FOUR (U+0034),34
54,5,DIGIT FIVE (U+0035),35
55,6,DIGIT SIX (U+0036),36
56,7,DIGIT SEVEN (U+0037),37
57,8,DIGIT EIGHT (U+0038),38
58,9,DIGIT NINE (U+0039),39
59,:,COLON (U+003A),3a
60,;,SEMICOLON (U+003B),3b
61,<,LESS-THAN SIGN (U+003C),3c
62,=,EQUALS SIGN (U+003D),3d
63,>,GREATER-THAN SIGN (U+003E),3e
64,?,QUESTION MARK (U+003F),3f
65,@,COMMERCIAL AT (U+0040),40
66,A,LATIN CAPITAL LETTER A (U+0041),41
67,B,LATIN CAPITAL LETTER B (U+0042),42
68,C,LATIN CAPITAL LETTER C (U+0043),43
69,D,LATIN CAPITAL LETTER D (U+0044),44
70,E,LATIN CAPITAL LETTER E (U+0045),45
71,F,LATIN CAPITAL LETTER F (U+0046),46
72,G,LATIN CAPITAL LETTER G (U+0047),47
73,H,LATIN CAPITAL LETTER H (U+0048),48
74,I,LATIN CAPITAL LETTER I (U+0049),49
75,J,LATIN CAPITAL LETTER J (U+004A),4a
76,K,LATIN CAPITAL LETTER K (U+004B),4b
77,L,LATIN CAPITAL LETTER L (U+004C),4c
78,M,LATIN CAPITAL LETTER M (U+004D),4d
79,N,LATIN CAPITAL LETTER N (U+004E),4e
80,O,LATIN CAPITAL LETTER O (U+004F),4f
81,P,LATIN CAPITAL LETTER P (U+0050),50
82,Q,LATIN CAPITAL LETTER Q (U+0051),51
83,R,LATIN CAPITAL LETTER R (U+0052),52
84,S,LATIN CAPITAL LETTER S (U+0053),53
85,T,LATIN CAPITAL LETTER T (U+0054),54
86,U,LATIN CAPITAL LETTER U (U+0055),55
87,V,LATIN CAPITAL LETTER V (U+0056),56
88,W,LATIN CAPITAL LETTER W (U+0057),57
89,X,LATIN CAPITAL LETTER X (U+0058),58
90,Y,LATIN CAPITAL LETTER Y (U+0059),59
91,Z,LATIN CAPITAL LETTER Z (U+005A),5a
92,[,LEFT SQUARE BRACKET (U+005B),5b
93,\,REVERSE SOLIDUS (U+005C),5c
94,],RIGHT SQUARE BRACKET (U+005D),5d
95,^,CIRCUMFLEX ACCENT (U+005E),5e
96,_,LOW LINE (U+005F),5f
97,`,GRAVE ACCENT (U+0060),60
98,a,LATIN SMALL LETTER A (U+0061),61
99,b,LATIN SMALL LETTER B (U+0062),62
100,c,LATIN SMALL LETTER C (U+0063),63
101,d,LATIN SMALL LETTER D (U+0064),64
102,e,LATIN SMALL LETTER E (U+0065),65
103,f,LATIN SMALL LETTER F (U+0066),66
104,g,LATIN SMALL LETTER G (U+0067),67
105,h,LATIN SMALL LETTER H (U+0068),68
106,i,LATIN SMALL LETTER I (U+0069),69
107,j,LATIN SMALL LETTER J (U+006A),6a
108,k,LATIN SMALL LETTER K (U+006B),6b
109,l,LATIN SMALL LETTER L (U+006C),6c
110,m,LATIN SMALL LETTER M (U+006D),6d
111,n,LATIN SMALL LETTER N (U+006E),6e
112,o,LATIN SMALL LETTER O (U+006F),6f
113,p,LATIN SMALL LETTER P (U+0070),70
114,q,LATIN SMALL LETTER Q (U+0071),71
115,r,LATIN SMALL LETTER R (U+0072),72
116,s,LATIN SMALL LETTER S (U+0073),73
117,t,LATIN SMALL LETTER T (U+0074),74
118,u,LATIN SMALL LETTER U (U+0075),75
119,v,LATIN SMALL LETTER V (U+0076),76
120,w,LATIN SMALL LETTER W (U+0077),77
121,x,LATIN SMALL LETTER X (U+0078),78
122,y,LATIN SMALL LETTER Y (U+0079),79
123,z,LATIN SMALL LETTER Z (U+007A),7a
124,{,LEFT CURLY BRACKET (U+007B),7b
125,|,VERTICAL LINE (U+007C),7c
126,},RIGHT CURLY BRACKET (U+007D),7d
127,~,TILDE (U+007E),7e
128,,DELETE (U+007F),7f
129,,<control> (U+0080),c280
130,,<control> (U+0081),c281
131,,BREAK PERMITTED HERE (U+0082),c282
132,,NO BREAK HERE (U+0083),c283
133,,<control> (U+0084),c284
134,,NEXT LINE (NEL) (U+0085),c285
135,,START OF SELECTED AREA (U+0086),c286
136,,END OF SELECTED AREA (U+0087),c287
137,,CHARACTER TABULATION SET (U+0088),c288
138,,CHARACTER TABULATION WITH JUSTIFICATION (U+0089),c289
