,0,1,2
84,ᯌ,BATAK LETTER SIMALUNGUN WA (U+1BCC),e1af8c
85,ᯍ,BATAK LETTER PAKPAK WA (U+1BCD),e1af8d
86,ᯎ,BATAK LETTER GA (U+1BCE),e1af8e
87,ᯏ,BATAK LETTER SIMALUNGUN GA (U+1BCF),e1af8f
88,ᯐ,BATAK LETTER JA (U+1BD0),e1af90
89,ᯑ,BATAK LETTER DA (U+1BD1),e1af91
90,ᯒ,BATAK LETTER RA (U+1BD2),e1af92
91,ᯓ,BATAK LETTER SIMALUNGUN RA (U+1BD3),e1af93
92,ᯔ,BATAK LETTER MA (U+1BD4),e1af94
93,ᯕ,BATAK LETTER SIMALUNGUN MA (U+1BD5),e1af95
94,ᯖ,BATAK LETTER SOUTHERN TA (U+1BD6),e1af96
95,ᯗ,BATAK LETTER NORTHERN TA (U+1BD7),e1af97
96,ᯘ,BATAK LETTER SA (U+1BD8),e1af98
97,ᯙ,BATAK LETTER SIMALUNGUN SA (U+1BD9),e1af99
98,ᯚ,BATAK LETTER MANDAILING SA (U+1BDA),e1af9a
99,ᯛ,BATAK LETTER YA (U+1BDB),e1af9b
100,ᯜ,BATAK LETTER SIMALUNGUN YA (U+1BDC),e1af9c
101,ᯝ,BATAK LETTER NGA (U+1BDD),e1af9d
102,ᯞ,BATAK LETTER LA (U+1BDE),e1af9e
103,ᯟ,BATAK LETTER SIMALUNGUN LA (U+1BDF),e1af9f
104,ᯠ,BATAK LETTER NYA (U+1BE0),e1afa0
105,ᯡ,BATAK LETTER CA (U+1BE1),e1afa1
106,ᯢ,BATAK LETTER NDA (U+1BE2),e1afa2
107,ᯣ,BATAK LETTER MBA (U+1BE3),e1afa3
108,ᯤ,BATAK LETTER I (U+1BE4),e1afa4
109,ᯥ,BATAK LETTER U (U+1BE5),e1afa5
110,᯦,BATAK SIGN TOMPI (U+1BE6),e1afa6
111,ᯧ,BATAK VOWEL SIGN E (U+1BE7),e1afa7
112,ᯨ,BATAK VOWEL SIGN PAKPAK E (U+1BE8),e1afa8
113,ᯩ,BATAK VOWEL SIGN EE (U+1BE9),e1afa9
114,ᯪ,BATAK VOWEL SIGN I (U+1BEA),e1afaa
115,ᯫ,BATAK VOWEL SIGN KARO I (U+1BEB),e1afab
116,ᯬ,BATAK VOWEL SIGN O (U+1BEC),e1afac
117,ᯭ,BATAK VOWEL SIGN KARO O (U+1BED),e1afad
118,ᯮ,BATAK VOWEL SIGN U (U+1BEE),e1afae
119,ᯯ,BATAK VOWEL SIGN U FOR SIMALUNGUN SA (U+1BEF),e1afaf
120,ᯰ,BATAK CONSONANT SIGN NG (U+1BF0),e1afb0
121,ᯱ,BATAK CONSONANT SIGN H (U+1BF1),e1afb1
122,᯲,BATAK PANGOLAT (U+1BF2),e1afb2
123,᯳,BATAK PANONGONAN (U+1BF3),e1afb3
124,᯼,BATAK SYMBOL BINDU NA METEK (U+1BFC),e1afbc
125,᯽,BATAK SYMBOL BINDU PINARBORAS (U+1BFD),e1afbd
126,᯾,BATAK SYMBOL BINDU JUDUL (U+1BFE),e1afbe
127,᯿,BATAK SYMBOL BINDU PANGOLAT (U+1BFF),e1afbf
128,ᰀ,LEPCHA LETTER KA (U+1C00),e1b080
129,ᰁ,LEPCHA LETTER KLA (U+1C01),e1b081
130,ᰂ,LEPCHA LETTER KHA (U+1C02),e1b082
131,ᰃ,LEPCHA LETTER GA (U+1C03),e1b083
132,ᰄ,LEPCHA LETTER GLA (U+1C04),e1b084
133,ᰅ,LEPCHA LETTER NGA (U+1C05),e1b085
134,ᰆ,LEPCHA LETTER CA (U+1C06),e1b086
135,ᰇ,LEPCHA LETTER CHA (U+1C07),e1b087
136,ᰈ,LEPCHA LETTER JA (U+1C08),e1b088
137,ᰉ,LEPCHA LETTER NYA (U+1C09),e1b089
138,ᰊ,LEPCHA LETTER TA (U+1C0A),e1b08a
139,ᰋ,LEPCHA LETTER THA (U+1C0B),e1b08b
140,ᰌ,LEPCHA LETTER DA (U+1C0C),e1b08c
141,ᰍ,LEPCHA LETTER NA (U+1C0D),e1b08d
142,ᰎ,LEPCHA LETTER PA (U+1C0E),e1b08e
143,ᰏ,LEPCHA LETTER PLA (U+1C0F),e1b08f
144,ᰐ,LEPCHA LETTER PHA (U+1C10),e1b090
145,ᰑ,LEPCHA LETTER FA (U+1C11),e1b091
146,ᰒ,LEPCHA LETTER FLA (U+1C12),e1b092
147,ᰓ,LEPCHA LETTER BA (U+1C13),e1b093
148,ᰔ,LEPCHA LETTER BLA (U+1C14),e1b094
149,ᰕ,LEPCHA LETTER MA (U+1C15),e1b095
150,ᰖ,LEPCHA LETTER MLA (U+1C16),e1b096
151,ᰗ,LEPCHA LETTER TSA (U+1C17),e1b097
152,ᰘ,LEPCHA LETTER TSHA (U+1C18),e1b098
153,ᰙ,LEPCHA LETTER DZA (U+1C19),e1b099
154,ᰚ,LEPCHA LETTER YA (U+1C1A),e1b09a
155,ᰛ,LEPCHA LETTER RA (U+1C1B),e1b09b
156,ᰜ,LEPCHA LETTER LA (U+1C1C),e1b09c
157,ᰝ,LEPCHA LETTER HA (U+1C1D),e1b09d
158,ᰞ,LEPCHA LETTER HLA (U+1C1E),e1b09e
159,ᰟ,LEPCHA LETTER VA (U+1C1F),e1b09f
160,ᰠ,LEPCHA LETTER SA (U+1C20),e1b0a0
161,ᰡ,LEPCHA LETTER SHA (U+1C21),e1b0a1
